Title,Address,State,Zipcode,PhoneNumber,Description
"Baptist Health, Montgomery","2936 Marti Lane, Montgomery, AL 36116",AL,36116,(334) 747-0150,"If symptomatic, call 334-747-0150 to schedule a phone consultation. Lines are open 24/7! Follow the directives of your Baptist Health medical provider. If you recieve an appointment, drive to your scheduled appointment. Park in designated testing space. Wait inside your car where the screening will be administered."
"Baptist Health, Prattville","350 County Road 4 West, Prattville, AL 36067",AL,36067,(334) 747-0150,"If symptomatic, call 334-747-0150 to schedule a phone consultation. Lines are open 24/7! Follow the directives of your Baptist Health medical provider. If you recieve an appointment, drive to your scheduled appointment. Park in designated testing space. Wait inside your car where the screening will be administered."
"Cahaba Medical Care, West End Curbside","1308 Tuscaloosa Avenue, Birmingham, AL 35211",AL,35211,(888)-507-3527,Pre-registration is required at the source link for drive-thru and curbside testing only.
"Cahaba Medical Care, Woodstock Drive Thru","Holiday Raceway 20105 US-11, Woodstock, AL 35188",AL,35188,(888)-507-3527,Pre-registration is required at the source link for drive-thru and curbside testing only.
Chilton County Health Department,"301 Health Center Drive, Clanton, AL 35406",AL,35406,(205) 755-1287,"Testing on Wednesdays only for people who meet the standard criteria for the month of April. Must meet criteria, have a Dr's order and call to make an appointment. Or call the Alabama COVID-19 24/7 hotline at 1-888-264-2256 for testing sites and hours of operation near you"
Conecuh County Health Department,"102 Wild Avenue, Evergreen, AL 36401",AL,36401,(251) 578-1952,"Testing on Wednesday 4/8 only at this time. Must meet criteria, have a Dr's order and call to make an appointment. Or call the Alabama COVID-19 24/7 hotline at 1-888-264-2256 for testing sites and hours of operation near you"
Cullman Regional Screening Site,"1958 Alabama Highway 157, Cullman, AL 35058",AL,35058,(256) 735-5530,This site does require patients to get some form of a screening before they can be seen. It can be provided through the hopsitals virtual care. They can be seen either at the urgent care or the emergency dept and will only be tested if they meet the required guidelines. If you have symptoms or have questions about COVID-19 please call the Cullamn Regional COVID-19 information line to avoid an unnecessary trip to the hospital.
DCH Regional Medical Center,"1101 Dr Edward Hillard Dr., Tuscaloosa, AL 35401",AL,35401,(205) 759-7111,1101 Dr Edward Hillard Drive (Parking near laundry facility) Only swab tests will be conducted and the supply is critically low. This means only those screened with symptoms indicating a high likelihood of infection will have a specimen collected for testing. The service will resume 8 a.m. – 5 p.m. Monday through Friday next week as long as supplies remain available and the weather allows for the process to safely continue. For updates check: https://www.dchsystem.com/Articles/coronavirus_update_and_health_system_preparations.aspx
DeKalb Regional Medical Center POBs,"421 Medical Center Drive, SW, Fort Payne, AL 35968",AL,35968,(256) 997-2708,Must call for an appointment.
Downtown COVID-19 Testing Site,"2117 University Blvd, South Birmingham, AL 35205",AL,35205,(205) 975-1881,"Those who have symptoms of COVID-19 — cough, fever or shortness of breath — or believe they may have had contact with someone who has tested positive for COVID-19 can call 205-975-1881 from 7 a.m. until 11 p.m. and be screened by a medical provider. The provider will then schedule an appointment time for testing at the downtown site if the caller has a positive screen for COVID-19 symptoms. Appointments will be scheduled from 9 a.m.-1:30 p.m. seven days a week."
Escambia County Health Department (Atmore),"8600 Highway 31 North, Suite 17, Atmore, AL 36502, Atmore, AL 36502",AL,36502,(251) 446-9498,Testing at this location is changing week to week. This site is currently not testing. Call the Alabama COVID-19 24/7 hotline at 1-888-264-2256 for testing sites and hours of operation near you. interpreters are available. Note: There is no medical advice provided at this telephone number.
Escambia County Health Department (Brewton),"1115 Azalea Place, Brewton, AL 36426",AL,36426,(251) 867-5765,Testing at this location is changing week to week. Call the Alabama COVID-19 24/7 hotline at 1-888-264-2256 for testing sites and hours of operation near you. interpreters are available. Note: There is no medical advice provided at this telephone number.
Express Med,"970 Cox Creek Pkwy, Florence, AL 35633",AL,35633,256-760-1655,N/A
Franklin County Health Department,"801 Highway 48, Russellville, AL 35654",AL,35654,256-332-2700,Request referral from your physician. *Please pre-register or have phone available to register while remaining in your vehicle
Gadsden Regional Medical Center,"1007 Goodyear Avenue, Gadsden, AL 35903",AL,35903,(256) 494-4000,"All patients are being screened for COVID-19 symptoms and risk factors and we have a response plan to protect patients and our staff should it be needed. When a physician determines a patient meets the risk criteria, they will order testing and manage the patient’s care and ultimate disposition. In-patient ONLY"
Greater Mobile Ugent Care,", Mobile, AL 36695",AL,36695,(251) 633-0123,"Beginning Monday, March 23, 2020, Greater Mobile Urgent Care's West Mobile Clinic is offering Coronavirus (COVID-19) screening and testing services. If you are experiencing Coronavius (COVID-19) symptoms, or have been exposed, please call our Telehealth line to schedule a pre-screening. How It Works – Available NOW! 1) Call (251) 633-0123 Hit * on your phone 2) Give insurance information 3) Talk with Doctor to discuss symptoms 4) If criteria met, you'll be given a scheduled testing time"
Hale County Hospital,"508 Greene Street, Greensboro, AL 36744",AL,36744,(334) 507-3815,"At Hale County Hospital, we are doing everything we can to adequately prepare for the possibility of the presence of COVID-19 in our community, and to make sure we are ready to respond to your needs. The coronavirus situation changes daily, if not hourly, so please stay tuned for updates on the situation and our protocols and response. For the time being, we are taking the following steps and implementing the following measures: We have established three hotline numbers you can call from 8am-5pm daily if you have questions about COVID-19. The numbers are listed below. 334-507-2291 334-507-3783 334-507-4712"
Hartselle Family Practice,"1211 Highway 31 NW, Suite B, Hartselle, AL 35640",AL,35640,(256) 773-6017,"This clinic is being established as a testing site for patients who have already been prescreened by their health care providers. The clinic is for adults ages 18 and older who have a referral or order from their health care providers and have exhibited a broad range of upper respiratory illnesses, including influenza, sore throat, strep throat, fevers or potential exposure to COVID-19. Patients will only be tested for COVID-19 if testing is indicated by their clinic medical exam. Not all patients will be tested for COVID-19. Patients who come to the fever clinic will call 256-773-6017 and wait in their car upon arrival. Preliminary registration information will be collected while the patient remains in the car. The patient will be evaluated and possibly tested in their car. Please bring your photo ID, insurance card and cellphone if you have one. The clinic visit will be billed to your health insurance. No money will be collected on site. Any person with a medical emergency such as shortness of breath or respiratory distress should call 911 or go to the nearest hospital emergency department."
Hoover Urgent Care,"2503 John Hawkins Parkway, Hoover, AL 35244",AL,35244,(205) 987-6801,"Hoover Urgent Care does offer evaluation and testing for coronavirus in symptomatic patients. Appointments are not required, but calling the clinic first will determine if you meet the symptoms. If you have symptoms, you will be asked to come in a call from your car when you arrive to be tested. This site is not testing for asymptomic patients because tests are limited. We also continue to see our usual urgent care patients. We have instituted one on one check in and triage procedures to limit anyone's exposure to potentially contagious diseases. Patients are asked to wait in their car until we are ready to bring them straight to the exam room."
"Huntsville Hospital, COVID-19 Specimen Collection Site","2151 Airport Road, Huntsville, AL 35802",AL,35802,(256) 265-1000,The Drive-through collection site at John Hunt Park will not reopen this week due to limited testing supplies. The HH Fever & Flu Clinic on Governors Drive will remain open Monday through Friday beginning at 9 a.m. each day.
"Huntsville Hospital, Fever and Flu Clinic","120 Governors Drive, Huntsville, AL 35801",AL,35801,(256) 265-1000,"Who should come to the Fever & Flu Clinic? Children and adults ages 6 and older who exhibit a broad range of upper respiratory illnesses, including influenza, sore throat, strep throat, fevers or potential exposure to COVID-19. Patients will only be tested for COVID-19 if indicated by their exam. If you come to the Fever & Flu Clinic preliminary registration information will be collected while the patient remains in the car. Patients will wait in their car until they are contacted by cell phone or by the hospital attendant when it’s time to come inside for evaluation. Only the patient will be allowed inside the building, unless the patient is a child between 6-18 years of age or an elderly person who needs assistance. Please bring the following items with you: Photo ID Insurance card Cell phone, if you have one The clinic visit will be billed to your health insurance. No money will be collected on-site."
Infirmary Health - Mobile Infirmary,"166 Mobile Infirmary Boulevard, Mobile, AL 36604",AL,36604,(251) 341-2819,"Infirmary Health will host appointment-only COVID-19 testing sites. If symptomatic, Mobile and Baldwin County residents can call 251-341-CV19 (2819) to speak with a registered nurse. The appointment booking hotline will be open from 7 a.m. – 7 p.m. This hotline is staffed by Infirmary Health personnel. Appointment Qualifiers: 1. Mobile or Baldwin County residents only. 2. Must be 12 months of age or older. If over 18, must have valid ID. (Parent or guardian must present ID for pediatric patients.) 3. If the patient meets the CDC criteria to be tested, they will receive an appointment location and time. 4. The test will be administered in the car. REMAIN IN YOUR VEHICLE. 5. A clinician will assess symptoms and administer test if needed. 6. Once swabbed, the patient will receive clear next steps from the medical provider."
Infirmary Health - North Baldwin Infirmary,"2115 Hand Ave, Bay Minette, AL 36507",AL,36507,(251) 341-2819,"Infirmary Health will host appointment-only COVID-19 testing sites. If symptomatic, Mobile and Baldwin County residents can call 251-341-CV19 (2819) to speak with a registered nurse. The appointment booking hotline will be open from 7 a.m. – 7 p.m. This hotline is staffed by Infirmary Health personnel. Appointment Qualifiers: 1. Mobile or Baldwin County residents only. 2. Must be 12 months of age or older. If over 18, must have valid ID. (Parent or guardian must present ID for pediatric patients.) 3. If the patient meets the CDC criteria to be tested, they will receive an appointment location and time. 4. The test will be administered in the car. REMAIN IN YOUR VEHICLE. 5. A clinician will assess symptoms and administer test if needed. 6. Once swabbed, the patient will receive clear next steps from the medical provider."
Ivy Creek Health Care COVID Collection Clinic,"500 Hospital Drive, Wetumpka, AL 36092",AL,36092,(334) 514-3713,"If you are experiencing Coronavirus (COVID-19) symptoms, call your primary care physician or urgent care facility first. You may also call the Ivy Creek Healthcare COVID-19 Collection Clinic at 334-514-3713 during normal business hours, M-F 7:00a.m. – 7:00p.m."
Lauderdale County Health Department,"4112 Chisholm Road, Florence, AL 35630",AL,35630,(256) 764-7453,**Beginning April 20th
Lawrence Medical Center,"202 Hospital St, Moulton, AL 35650",AL,35650,(256) 974-2200,"Individuals who are showing symptoms of coronavirus—which include high fever, shortness of breath and cough—and have an order from their physician, can drive to the end of the hospital near Dr. Gillespie’s and Dr. Hall’s offices where a tent is set up."
Marengo County Health Department,"303 Industrial Drive, Linden, AL 36748",AL,36748,(334) 295-4205,Testing on Thursdays only for people who meet the standard criteria for the month of April. Must call to make an appointment. Or call the Alabama COVID-19 24/7 hotline at 1-888-264-2256 for testing sites and hours of operation near you
Med Plus,"2908 Mall Rd., Florence, AL 35630",AL,35630,(256) 767-2702,For those that meet the criteria of COVID-19 testing we have an adequate supply of kits through our commercial lab or we can write an order for testing at the health department. We have a triage station at our entrance that will direct you to the appropriate place. We have also temporarily changed our hours to 7am-7pm for both outside and inside service.
"Regional Medical Center, Anniston, Drive Thru","230 East 10th Street, Anniston, AL 36207",AL,36207,(256) 235-5121,RMC requires all patients first be evaluated by their healthcare provider to determine if they are eligible for testing. Healthcare providers will use designated screening criteria to determine if a refferal to the screening clinic is necessary. Drive-thru testing is ONLY for patients who have been referred for testing by their PCP. https://rmccares.org/coronavirus-information/
"Southern Immediate Care, Anniston","4100 McClellan Boulevard, Anniston, AL 36201",AL,36201,(256) 235-2273,"Southern Immediate Care is now offering a TeleMed option that will allow you to visit with a doctor from the comfort and safety of your own home. CALL 256-344-0065 to schedule your appointment. Should the doctor determine that COVID-19 testing is necessary, you will be referred to one of the Southern Immediate Care clinics where we will be able to safely administer the test for you. If you have never been to this facility before, you are still welcome to come and get tested. You do not need an appointment, you are welcome to park outside and someone will provide the paperwork for you to get tested."
"Southern Immediate Care, Attalla","956 Gilbert Ferry Rd SE, Attalla, AL 35954",AL,35954,(256) 344-0065,"Southern Immediate Care is now offering a TeleMed option that will allow you to visit with a doctor from the comfort and safety of your own home. CALL 256-344-0065 to schedule your appointment. Should the doctor determine that COVID-19 testing is necessary, you will be referred to one of the Southern Immediate Care clinics where we will be able to safely administer the test for you."
"Southern Immediate Care, Heflin","150 Tompkins St, Heflin, AL 36264",AL,36264,(256) 568-8818,"Southern Immediate Care is now offering a TeleMed option that will allow you to visit with a doctor from the comfort and safety of your own home. CALL 256-344-0065 to schedule your appointment. Should the doctor determine that COVID-19 testing is necessary, you will be referred to one of the Southern Immediate Care clinics where we will be able to safely administer the test for you. An appointment is necessary to be seen at this clinic. They will do a phone screening and an in-site screening while being seen by the doctor."
Tallapoosa County Health Department,"2078 Sportplex Boulevard, Alexander City, AL 35010",AL,35010,(256) 329-0531,Testing on Friday's only for people who meet the standard criteria for the month of April. Must call to make an appointment. Or call the Alabama COVID-19 24/7 hotline at 1-888-264-2256 for testing sites and hours of operation near you
Thrive Urgent Care,"3500 Cloverdale Road, Florence, AL 35633",AL,35633,256-284-7706,Symptoms Only
Trussville Urgent Care,"1960 Gadsden Highway, Trussville, AL 35235",AL,35235,(205)-655-1016,N/A
UAB Hospital,"1720 2nd Ave S, Brimingham, AL 35205",AL,35205,(205) 975-1881,"On Monday, March 23, those who believe they need a test can call 205-975-1881 between 7 a.m. and 11 p.m. to schedule appointments at the Downtown Testing Site. Appointments will be scheduled from 9 a.m.-1:30 p.m. seven days a week. Those who are given appointments will be asked to arrive no more than 15 minutes before their scheduled appointment time and to follow the detailed instructions located on-site."
"Urgent Care for Children, Highway 280","500 Cahaba Park Circle Suite 100, Birmingham, AL 35242",AL,35242,(205) 848-2273,"Urgent Care for Children is now offering to perform curbside COVID-19 testing for high-risk patients (0-21 years old), which will be sent to a third-party lab and results typically return within 24 to 72 hours. We strongly recommend that patients complete a telemedicine screening before being tested for COVID-19 to reduce exposure. Please call your closest clinic location for more details prior to arriving."
"Urgent Care for Children, Madison","8490 Highway 72 West, Suite 100, Madison, AL 35758",AL,35758,(256) 724-3587,"Urgent Care for Children is now offering to perform curbside COVID-19 testing for high-risk patients (0-21 years old), which will be sent to a third-party lab and results typically return within 24 to 72 hours. We strongly recommend that patients complete a telemedicine screening before being tested for COVID-19 to reduce exposure. Please call your closest clinic location for more details prior to arriving."
"Urgent Care for Children, Trussville","117 North Chalkville Road, Trussville, AL 35173",AL,35173,(205) 848-2273,"Urgent Care for Children is now offering to perform curbside COVID-19 testing for high-risk patients (0-21 years old), which will be sent to a third-party lab and results typically return within 24 to 72 hours. We strongly recommend that patients complete a telemedicine screening before being tested for COVID-19 to reduce exposure. Please call your closest clinic location for more details prior to arriving."
"Urgent Care for Children, Tuscaloosa","4700 Rice Mine Rd Northeast, Tuscaloosa, AL 35406",AL,35406,(205) 614-5628,"Urgent Care for Children is now offering to perform curbside COVID-19 testing for high-risk patients (0-21 years old), which will be sent to a third-party lab and results typically return within 24 to 72 hours. We strongly recommend that patients complete a telemedicine screening before being tested for COVID-19 to reduce exposure. Please call your closest clinic location for more details prior to arriving."
"Urgent Care for Children, Vestavia","520 Montgomery Highway, Vestavia, AL 35216",AL,35216,(205) 848-2273,"Urgent Care for Children is now offering to perform curbside COVID-19 testing for high-risk patients (0-21 years old), which will be sent to a third-party lab and results typically return within 24 to 72 hours. We strongly recommend that patients complete a telemedicine screening before being tested for COVID-19 to reduce exposure. Please call your closest clinic location for more details prior to arriving."
Whitfield Regional Hospital Coronavirus Collection Site,"105 U.S. Highway 80 East, Demopolis, AL 36732",AL,36732,(888) 264-2256,"Site located on Walnut Street in hospital parking lot. No phone, but email is covid19@bwwmh.com"
Alaska Island Community Services (AICS) Medical Clinic,"232 Wood St, Wrangell, AK 99929",AK,99929,(907) 874-4700,For patients only. Testing is becoming increasingly available for patients who are sick with fever and a cough. They are not available for patients who are not sick. Contact your healthcare provider for advice if you are experiencing symptoms. Call ahead to alert staff of your COVID-19 concerns and request a mask be brought out to you prior to entering to reduce the risk of exposure.
Alma Cook Health Center in Hydaburg,"8th St, Hydaburg, AK 99922",AK,99922,(907) 285-3462,For patients only. Testing is becoming increasingly available for patients who are sick with fever and a cough. They are not available for patients who are not sick. Contact your healthcare provider for advice if you are experiencing symptoms. Call ahead to alert staff of your COVID-19 concerns and request a mask be brought out to you prior to entering to reduce the risk of exposure.
Bethel Center and Itinerant Nursing Services,"1490 State Hwy, Bethel, AK 99559",AK,99559,(907) 543-2110,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Bristol Bay Area Health Corporation,"6000 Kanakanak Rd, Dillingham, AK 99576",AK,99576,(901) 842-9244,"1. If you have traveled in the last 2 weeks outside of the Bristol Bay Region or have been in close contact with someone who has traveled out of the Bristol Bay Region and are now experiencing fever, cough, shortness of breath, abnormal smell/taste sensation, loss of appetite or diarrhea contact your Health Aide. 2. The Health Aide will ask questions related to COVID-19 screening. 3. The patient will be scheduled at the clinic. 4. The patient comes to the clinic and is immediately put in a procedure mask. 5. The patient will be assessed by the Health Aide. 6. The Health Aide will consult Medical Staff for further evaluation and guidance. 7. Medical Staff will decide course of action. 7. If Medical Staff wants the patient to remain in the village and be tested the patient will remain in quarantine until the test is resulted. 8. Once a patient has been tested Bristol Bay Area Health Corporation will monitor that patient on a daily basis to ensure that the patient is in stable condition at home. 9. If the symptoms become worse the Health Aide must be contacted immediately."
Capstone Clinic,"3122 E Meridian Park LP, Wasilla, AK 99654",AK,99654,(907) 357-9590,"The mobile facility accepts enrolled patients of Capstone’s Eagle River, Palmer and Wasilla clinics to address suspected COVID-19 cases. If you are not a Capstone patient, you must enroll in your vehicle online onsite. We will update our Capstone Anchorage and Kenai Clinic patients with options and ask that they contact their nearest hospital (Providence / Alaska Regional / Central Peninsula Hospital) for current testing and cases. Capstone patients and prospective-patients drive their vehicle to the Capstone’s COVID-19 Testing Facility which is now open 10 AM to 6 PM Saturday/Sunday and 8 AM to 8 PM Monday-Friday."
Chief Andrew Issac Health Center,"1717 W Cowles St, Fairbanks, AK 99701",AK,99701,(907) 451-6682,Screening only VA members and their bemneficiaries are being screened must call to set an appointment and have symptoms
Craig Public Health Center,"1800 Craig Klawock Highway, Craig, AK 99921",AK,99921,(907) 826-3433,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Denali Center,"1510 19th Ave., Fairbanks, AK 99701",AK,99701,(907) 458-5100,drive thru - have to be refer by PCP call for screening - COVID-19 HOTLINE 907-458-2888
Dillingham Public Health Center,"125 Main Street, Dillingham, AK 99576",AK,99576,(907) 842-5981,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Fairbanks Memorial Hospital,"1650 Cowles Street, Fairbanks, AK 99701",AK,99701,(907) 452-8181,"drive thru & walk-in, have to be refer by PCP ,call for screening - COVID-19 HOTLINE 907-458-2888"
Fairbanks Regional Public Health Center Interior Region,"1025 W Barnette St, Fairbanks, AK 99701",AK,99701,(907) 452-1776,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Front Street Clinic Juneau,"225 Front Street, Juneau, AK 99801",AK,99801,(907) 586-4230,For patients only. Testing is becoming increasingly available for patients who are sick with fever and a cough. They are not available for patients who are not sick. Contact your healthcare provider for advice if you are experiencing symptoms. Call ahead to alert staff of your COVID-19 concerns and request a mask be brought out to you prior to entering to reduce the risk of exposure.
Homer Public Health Center,"195 E Bunnell Ave Ste C, Homer, AK 99603",AK,99603,(907) 235-8857,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Juneau Public Health Center,"3412 Glacier Hwy, Juneau, AK 99801",AK,99801,(907) 465-3353,Checks patients for symptoms Offers COVID-19 testing Accepting 3rd party testing Patients must meet testing criteria Requires appointment
Kenai Public Health Center,"630 Barnacle Way Ste A, Kenai, AK 99611",AK,99611,(907) 335-3400,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Ketchikan Public Health Center,"605 Gateway Court, Ketchikan, AK 99901",AK,99901,(907) 225-4350,Call for appointment. This service can give you a referral to be screened if PCP referral is required and you meet all parameters of symptoms and / or CDC classification.
Kodiak Island Ambulatory Care Clinic Inc.,"202 Center Ave, Suite 102, Kodiak, AK 99615",AK,99615,(907) 486-6188,N/A
